mesh2,x,y,elevation,land.area,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
372513,125.4375,24.79166667,55.97222222,14387283,231.7777778,49.02777778,30.72741964,3932.180096,314,154.4444444,159.5555556,253.2638889,202.8888889,274.9583333,185.9444444,1981.055556,238.3,125.4666667,21.32881006,824.2555556,537.6833333,741.3388889,538.9555556
372521,125.1875,24.875,26.54347826,14794248,231.5652174,51.53985507,31.3517264,3995.378345,316,151.6086957,164.3913043,253.0217391,211.6630435,275.3913043,185.0217391,1841.847826,207.4782609,119.1043478,20.32084552,760.2043478,498.0521739,663.0217391,507.7391304
372522,125.3125,24.875,12.74285714,13825486,232.75,49.76488095,30.71801313,3964.750444,316.1428571,154.1428571,162,254.3660714,213.6964286,276.4017857,186.6607143,1866.335714,214.525,118.4642857,19.75219271,760.3142857,501.1392857,683.9464286,512.5464286
372531,125.1875,24.95833333,6.56,2343713,233.2,47.6,29.93633817,3919.729383,315.4,156.4,159,254.5,213.6,276.45,187.75,1837.94,207.14,118.56,19.84063618,754.66,496.72,667.64,506.48
372532,125.3125,24.95833333,13.7,478103,233,47.88888889,29.93055555,3931.869288,316,156,160,254.5833333,214.5,276.8333333,187.75,1842.266667,208.5,117.7333333,19.49679246,750.6666667,496.5333333,674.0666667,506.9
374102,141.3125,24.70833333,54.75,174943,249,46,35,3025,307,178,129,282,207,282,207,1315,165,51,33,450,198,450,198
374112,141.3125,24.79166667,42.64571429,23540465,245.8,46,35.17142857,3034.685714,303.1714286,175.0285714,128.1428571,278.6571429,203.4285714,278.6571429,203.4285714,1331.685714,167,52.08571429,33,455.9428571,201.1428571,455.9428571,201.1428571
382343,123.4375,25.70833333,68.85,3713963,219,46,25,4714,307,128,179,238,277,277,158,2075,213,109,16,581,446,446,485
382344,123.5625,25.70833333,18.74,705888,219,46,25,4714,307,128,179,238,277,277,158,2075,213,109,16,581,446,446,485
382353,123.4375,25.79166667,17.4,115690,219,46,25,4714,307,128,179,238,277,277,158,2075,213,109,16,581,446,446,485
382375,123.6875,25.95833333,29.3,901169,219,46,25,4714,307,128,179,238,277,277,158,2072,213,109,16,581,445,445,484
382474,124.5625,25.95833333,18.2,92474,219,46,25,4714,307,128,179,238,277,277,158,2072,213,109,16,581,445,445,484
383151,131.1875,25.79166667,25.25555556,7026629,229.8888889,57.71296296,33.42413357,4007.134337,312.1111111,139.4444444,172.6666667,257.8055556,187.0833333,273.8888889,183.3333333,1646.166667,197.3444444,85.61111111,29.26753638,749.6111111,392.7444444,647.4666667,392.8666667
383152,131.3125,25.79166667,29.86,2546741,229.6,56.98333333,33.12984496,4002.363621,311.8,139.8,172,257.7,183.3,273.75,183.3,1647.04,197.1,83.06,29.43993219,749.66,389.92,647.54,389.92
383161,131.1875,25.875,22.12,12244497,229.7333333,57.36666667,33.36548044,4012.24329,312.0666667,140.1333333,171.9333333,257.85,183.3166667,273.9833333,183.3166667,1650.146667,196.54,86.68,28.98101856,749.6266667,395.2,648.9,395.2
383162,131.3125,25.875,30.32,7916358,229.5,57.00833333,33.20209438,3996.983346,311.7,140,171.7,257.575,183.375,273.7,183.375,1649.26,196.35,85.3,29.14718847,749.39,392.52,648.26,392.52
383172,131.3125,25.95833333,22.05263158,11831317,230,54.63157895,32.18637302,4018.564868,311.7368421,142,169.7368421,258.0131579,183.4736842,274.2368421,183.4736842,1633.821053,195.1315789,85.81052632,28.59494176,737.1315789,390.9789474,637.6315789,390.9789474
384112,141.3125,25.45833333,178.3416667,5451493,234.1666667,46,34,3210.666667,294,160.75,133.25,266.3333333,189.5,270.1666667,189.5,1403.5,167.5,56.66666667,29.41666667,461.5833333,213.3333333,456.5,213.3333333
392636,126.8125,26.29166667,55.24210526,13199557,222.7894737,48.71052631,28.34416598,4378.671189,308.1052632,136.2631579,171.8421053,245.3684211,209.5789474,271.1973684,172,2082.610526,254.3947368,119.3473684,24.73732302,892.6631579,535.8789474,732.6526316,600.2947368
392645,126.6875,26.375,18.19,12088942,223.85,48.80416667,28.60718081,4353.429929,308.75,138.15,170.6,245.9875,210.825,272.0625,173.475,2106.18,255.92,118.98,24.71567471,901.78,540.545,750.34,603.605
392646,126.8125,26.375,61.41162791,34837179,222.0930233,49.09108527,28.51300239,4393.951715,307.5116279,135.3488372,172.1627907,241.3895349,208.1046512,270.6569767,171.0930233,2112.186047,259.1209302,119.3255814,25.30125288,907.5255814,538.9813953,748.9232558,609.8465116
392647,126.9375,26.375,0.6,322662,225,47.60416667,27.96124298,4322.511795,310,139.75,170.25,246.6875,199.25,272.875,175,1978.95,235.65,117.575,23.92431471,840.7,513.2,689.5,567.4
392676,126.8125,26.625,3.9,46000,223,42.5,26.39751553,4227.90155,305,144,161,220.5,183.25,270.25,174.75,1947.8,231.6,114.9,25.54110258,840.7,498.2,706,552.7
392705,127.6875,26.04166667,13.96,1638986,222.8,47.13333333,29.16616056,4106.710036,305.6,144,161.6,242.4,178.6,268.25,175.45,1935.52,226.38,106.72,22.42234596,810.64,501.62,724.7,502.38
392711,127.1875,26.125,59.75,311524,223,42.91666667,27.33545648,4133.638796,303,146,157,243.25,198.5,269,175.5,1996.25,239.85,114.55,22.73850019,838.25,517.95,712.75,555.3
392712,127.3125,26.125,23.48461538,3161239,221.8461538,42.02564102,26.9519103,4142.687913,300.9230769,145,155.9230769,241.9038462,191.4038462,267.75,174.0769231,2034.369231,244.4307692,113.0769231,23.16738282,855.2230769,522.5769231,736.6692308,559.5
392715,127.6875,26.125,39.71975309,77022007,221.1111111,50.07716049,30.1885237,4206.873211,306.4567901,140.617284,165.8395062,241.9104938,178.9691358,267.7623457,172.6358025,1994.503704,236.1679012,106.3753086,24.14731821,845.8382716,499.6049383,762.708642,521.0037037
392716,127.8125,26.125,69.01923077,23530578,217.5384615,52.57692308,30.7310611,4331.819647,305.6538462,134.5769231,171.0769231,239.375,175.3076923,265.5865385,167.5673077,1971.061538,235.7884615,108.1576923,23.85161488,838.0076923,506.0807692,745.0038462,518.5730769
392717,127.9375,26.125,7.56,1107144,222.8,50.05,29.86285478,4197.681819,308.8,141.2,167.6,243.25,174.35,269.25,174.35,1824.18,210.64,102.74,23.59882853,773.98,462.02,687.86,462.02
392721,127.1875,26.20833333,82.98333333,2503044,221.8333333,42.80555556,27.17876924,4168.859364,301.8333333,144.3333333,157.5,242.0416667,196.8333333,267.9166667,173.625,2012.666667,242.1666667,114.6333333,22.95408496,845.9,521.85,720.45,560.2333333
392722,127.3125,26.20833333,50.59830508,26802315,219.5932203,42.17090395,26.93680284,4198.894841,299.0338983,142.4915254,156.5423729,239.4194915,182.9237288,266.1822034,171.1525424,2076.3,251.1762712,114.0372881,23.78358287,874.4508475,530.7152542,751.1644068,577.0898305
392723,127.4375,26.20833333,34.59,2029419,221.6,43.28333333,27.23508922,4178.060306,302.3,143.4,158.9,241.825,195.025,267.9,173.3,1986.28,236.74,110.92,23.0949184,834.71,508.23,721.25,539.98
392725,127.6875,26.20833333,29.80238095,84778135,222.6904762,51.22718254,30.06566204,4330.515178,310.1547619,139.7619048,170.3928571,256.5386905,179.9821429,270.8392857,172.8422619,1984.45119,233.3059524,96.99404762,26.13476083,853.602381,473.6380952,781.2571429,500.4809524
392726,127.8125,26.20833333,32.98333333,35775774,219.7619048,53.54761905,30.98258277,4326.270304,308.6190476,135.7857143,172.8333333,249.6130952,174.2678571,267.7738095,169.8571429,1993.371429,235.4666667,103.8142857,24.99540978,854.0380952,496.7642857,773.9404762,504.747619
392727,127.9375,26.20833333,8.05,1048875,223,50.875,30.01427179,4237.364533,309.75,140.25,169.5,243.625,174,269.8125,174,1831.75,215.475,105.3,24.12914362,781.7,462.65,698.525,462.65
392732,127.3125,26.29166667,6.1,23057,221,42.75,27.22929936,4196.634655,301,144,157,242,196.5,268,173,2029.8,243.1,112.5,23.31697837,853.4,523.1,737.4,558.8
392733,127.4375,26.29166667,52.4,219021,222,42,26.75159236,4157.896831,302,145,157,242,197.25,268,174,1969.3,234.4,111.3,22.91769678,827.2,507.2,711,541.6
392734,127.5625,26.29166667,1.766666667,530161,221,49.55555555,29.14926948,4262.105306,307.6666667,137.6666667,170,242,179.3333333,268.25,171.8333333,1902.1,219,101.6333333,24.24564145,810.5666667,476.4333333,725.4333333,494.6333333
392735,127.6875,26.29166667,21.88571429,17181738,221.3333333,53.36507936,30.40350816,4421.303143,310.952381,135.4285714,175.5238095,258.75,173.2619048,270.5238095,170.4404762,1979.157143,233.0904762,97.89047619,25.54853538,848.7809524,485.7952381,773.7,490.7142857
392736,127.8125,26.29166667,45.47846154,61943782,220.1076923,54.61153846,30.68013218,4506.734347,310.8461538,132.8307692,178.0153846,258.3230769,174.5115385,270.3192308,168.2423077,2030.726154,238.9630769,97.69692308,26.96080356,884.4861538,484.2661538,806.2261538,500.9276923
392737,127.9375,26.29166667,21.95172414,15042315,222.4482759,53.31896552,30.57743759,4359.542639,311.2758621,136.9310345,174.3448276,256.5517241,181.2155172,270.8965517,172.25,1899.8,223.0862069,109.762069,24.24593296,810.937931,481.1172414,740.1172414,483.837931
392740,127.0625,26.375,9.95,241868,223,43.04166667,26.90104167,4187.757698,304,144,160,243.75,183.25,269.75,175,1950.7,234.25,112.85,24.64605524,836.1,502.4,708.15,545.4
392741,127.1875,26.375,36.56,3824376,221.3,43.525,27.13515848,4203.683835,302.7,142.3,160.4,241.875,181.15,267.975,172.9,1949.57,234.03,112.38,24.65597692,835,499.82,709.64,544.47
392745,127.6875,26.375,33.97142857,17002665,221.6666667,53.40079365,30.49689866,4427.207301,310.6666667,135.5714286,175.0952381,243.9166667,178.8333333,271.0238095,170.7857143,1853.12381,219.8,84.76190476,27.98463294,819.2142857,440.0571429,728.9333333,467.0571429
392746,127.8125,26.375,48.89484536,105364234,221.0927835,55.23024055,31.11337039,4503.016798,311.443299,133.9175258,177.5257732,248.3479381,177.0927835,271.3685567,169.3634021,1946.775258,233.7,90.97319588,29.18633312,860.7381443,442.0381443,778.1989691,491.5721649
392747,127.9375,26.375,20.6137931,15001568,222.3103448,53.31896552,30.49023963,4378.849112,311.2413793,136.3793103,174.862069,248.2758621,184.3534483,271.1034483,172,1872.389655,224.8344828,105.2793103,25.60366535,806.4206897,463.3034483,739.3103448,468.3206897
392755,127.6875,26.45833333,23.08888889,5592915,222.6666667,51.74074074,30.13821377,4348.302483,310,138.3333333,171.6666667,244.0833333,180.6666667,271.0833333,172.6944444,1818.3,214.9666667,91.45555556,26.80454281,800.1888889,444.1333333,708.7,464.6444444
392756,127.8125,26.45833333,45.81355932,49735934,220.9491525,55.74293785,31.15064129,4512.539068,311.6101695,132.6779661,178.9322034,243.9322034,176.8898305,271.3898305,169.1525424,1868.411864,222.6169492,83.86779661,28.41994081,824.0152542,433.3898305,738.7745763,466.5559322
392757,127.9375,26.45833333,44.93934426,56473714,219.7540984,57.99180328,31.67354839,4583.870333,312.2459016,129.1639344,183.0819672,244.7213115,174.5942623,270.9877049,167.1311475,1908.580328,223.6934426,94.80163934,27.41933915,829.8032787,442.3901639,760.7721311,486.3459016
392761,127.1875,26.54166667,36.55,2230488,222.25,41.6875,26.13904395,4212.835428,303.25,143.75,159.5,219.3125,195.4375,268.8125,173.5625,1900.95,226.075,112.6,25.33907469,818.025,484.7,690.7,536.5
392766,127.8125,26.54166667,12.42,2161887,221.6,56.95,31.25643027,4544.091092,313.6,131.4,182.2,244.95,177.15,272.55,169.65,1847.58,212.68,84.44,26.5036085,798.28,439.04,730.84,466.94
392767,127.9375,26.54166667,61.83703704,50447129,219.0925926,58.66358025,31.54386081,4623.723587,312.537037,126.5555556,185.9814815,249.7222222,173.3796296,270.6805556,166.0138889,1989.296296,229.4574074,93.83703704,26.94024112,858.1796296,464.3962963,800.1962963,503.7074074
392771,127.1875,26.625,22.92222222,5322700,223.5555556,41.87037037,26.26223146,4237.350427,304.2222222,144.7777778,159.4444444,220.3888889,199,270.75,175,1911.566667,226.2111111,110.3555556,25.32309033,820.6,486.1222222,699.7222222,537.2
392776,127.8125,26.625,17.43636364,3330867,222.1818182,52.84848485,29.80804522,4499.337202,312.0909091,134.8181818,177.2727273,255.2045455,184.3409091,272.7045455,170.8863636,2045.772727,244.7727273,106.0181818,23.56464605,860.1454545,520.2090909,818.5545455,538.8545455
392777,127.9375,26.625,86.28588235,83908637,217.4352941,56.73235294,30.8718037,4652.206442,309.6705882,125.9411765,183.7294118,255.6941176,178.1088235,269.2235294,163.9088235,2179.807059,261.9152941,99.62705882,28.41935751,952.3164706,502.0505882,907.5505882,567.4294118
392840,128.0625,26.375,6.6,264712,223,52.02777778,29.95851143,4351.567961,311.6666667,138,173.6666667,245,188.3333333,271.75,173.3333333,1833.3,219.9666667,103.9333333,25.06043418,783.5333333,456.3666667,718.7333333,458.7333333
392850,128.0625,26.45833333,8.233333333,207005,221,57.69444444,31.46944684,4541.825386,313.3333333,130,183.3333333,244.3333333,176.5,271.9166667,169.0833333,1846.766667,220.2,102.3333333,24.98119817,794.7333333,454.5333333,732.4333333,470.6
392860,128.0625,26.54166667,80.97777778,65845024,216.8611111,58.75810185,31.30216121,4679.876847,311.1805556,123.4722222,187.7083333,251.8263889,178.4270833,269.0034722,163.0243056,2083.565278,246.35,92.03472222,28.81922985,909.2375,472.1513889,848.2486111,523.8430556
392861,128.1875,26.54166667,68.11111111,4987343,217.8888889,57.25925926,30.74686936,4644.303279,311.7777778,125.5555556,186.2222222,250.3055556,180.6666667,269.6388889,164.4444444,2003.855556,235.4333333,101.7888889,24.16500769,846.6666667,503.9555556,799.4888889,515.7222222
392870,128.0625,26.625,105.0666667,86854635,215.4597701,60.40613027,31.60688678,4761.844728,311.6091954,120.4942529,191.1149425,245.1810345,184.2931034,268.5948276,160.7557471,2137.235632,258.7632184,87.61264368,28.79550033,922.8643678,488.8505747,855.9034483,543.8
392871,128.1875,26.625,85.97777778,57650941,215.4126984,58.26058201,31.09183803,4693.258378,310.5873016,123.2539683,187.3333333,251.5912698,182.1349206,267.7698413,161.4285714,2288.219048,273.1111111,114.0650794,25.65917881,980.7920635,557.9444444,917.4444444,601.4761905
392872,128.3125,26.625,76.975,1756769,216,54.14583333,29.75053114,4587.982828,308.5,126.5,182,254.4375,182.1875,266.875,162.9375,2349.975,294.25,132.25,25.272974,1012.775,592.275,962,615.5
394261,142.1875,26.54166667,48.92142857,3678204,234.2142857,45.42857143,31,3579.928571,302,158,144,272,186.1428571,277,186.1428571,1311.714286,151,52,27,414.4285714,195,394.8571429,195
394270,142.0625,26.625,45.2,34469,234,46,32,3582,300,158,142,272,186,277,186,1316,151,52,27,414,195,395,195
394271,142.1875,26.625,67.08709677,11452051,232.6774194,45.48387097,31.06451613,3595.709677,300.0967742,156.1290323,143.9677419,270.6774194,184.4193548,275.6129032,184.4193548,1322.322581,151.9677419,52.70967742,26.87096774,416.7096774,196.9354839,396.7741935,196.9354839
402705,127.6875,26.70833333,9.7,34437,222,47.25,27.95857988,4388.302288,308,139,169,243.25,206.75,271.5,172.25,1837.1,236.4,104.1,26.18362176,798.6,471.8,689.8,509.8
402706,127.8125,26.70833333,32.28125,22509462,221.8125,48.7421875,28.32609702,4446.035877,309.1875,137.125,172.0625,244.2265625,198.8125,271.34375,170.8359375,1875.5125,235.6125,102.875,25.33196081,806.540625,478.06875,700.65625,516.04375
402707,127.9375,26.70833333,60.17291667,45167219,219.6875,55.05729167,30.36870915,4614.5107,311.3541667,130.1041667,181.25,254.6354167,180.1145833,271.1979167,166.7239583,2092.341667,256.0791667,103.53125,25.18018454,887.7145833,516.53125,848.4979167,551.7645833
402727,127.9375,26.875,8.114285714,1695987,222,48.30952381,28.15687474,4482.359519,309.8571429,138.2857143,171.5714286,243.8571429,227.0357143,271.8928571,170.6428571,1849.528571,247.6714286,89.01428571,31.64447493,838.4142857,434.7571429,664.6142857,524.9571429
402737,127.9375,26.95833333,13.47692308,14720793,221.5384615,48.61538462,28.21966202,4492.842529,309.7307692,137.4615385,172.2692308,238.4038462,223.8653846,271.5,169.9519231,1865.157692,248.8538462,93.99230769,30.71967918,840.9846154,446.1730769,674.5230769,526.5730769
402747,127.9375,27.04166667,43.08,18358149,219.3666667,46.92777778,27.55051982,4473.519422,306.7,136.3666667,170.3333333,238.4583333,200.9583333,269.1666667,168.0916667,1944.786667,243.3233333,98.05666667,27.36885175,849.1866667,475.31,734.7266667,529.0233333
402757,127.9375,27.125,52.7,320346,221,45.83333333,26.96078431,4431.054324,308,138,170,238.75,199.75,270.25,170.25,1945.2,240.1,101.3,26.41596534,842.4,480.9,739.8,525.9
402800,128.0625,26.70833333,41.04,13236880,218.24,58.68666667,30.94480191,4726.139056,313.84,124.2,189.64,245.12,182.95,270.87,163.82,2029.544,248.508,99.86,23.81947215,848.084,525.216,794.46,536.816
402801,128.1875,26.70833333,188.2549451,98893990,209.5714286,56.44047619,30.26170561,4731.551184,304.8021978,118.3406593,186.4615385,248.0879121,166.6950549,262.2335165,154.9862637,2779.598901,306.3538462,137.9648352,23.5761741,1165.887912,691.8582418,1092.174725,726.2076923
402802,128.3125,26.70833333,120.7090909,40901967,213.4090909,53.55492424,29.56471354,4611.766335,306.2727273,125.1363636,181.1363636,249.3522727,173.6761364,264.7443182,160.2272727,2753.827273,311.8204545,146.0863636,23.94736667,1166.190909,689.4295455,1086.856818,714.1659091
402811,128.1875,26.79166667,131.3451613,27850770,212.8709677,53.40053763,29.41785731,4620.00193,306.6129032,125.1290323,181.483871,249.0887097,177.5645161,264.4919355,159.766129,2688.270968,297.4870968,135.3,22.8979657,1121.748387,681.8709677,1053.135484,709.6580645
402812,128.3125,26.79166667,164.1290323,63458801,210.0806452,50.6438172,28.45711021,4574.656226,302.4032258,124.4516129,177.9516129,244.4475806,176.0766129,261.108871,157.4032258,2668.904839,312.9483871,136.0951613,23.9789569,1126.509677,673.4612903,1051.362903,707.7645161
402821,128.1875,26.875,46.325,859682,217,48.60416667,27.89173824,4471.229012,307.75,133.5,174.25,226.5,181.75,267.3125,166,2235,262.175,110.35,21.94866668,917.025,578.6,836.825,589.925
402822,128.3125,26.875,89.08235294,13664445,215.2941176,48.20098039,27.7207594,4475.020868,305.8235294,131.9411765,173.8823529,228.2794118,179.8088235,265.3088235,163.9117647,2278.064706,268.4529412,117.3058824,21.63228028,933.9117647,594.6823529,853.5470588,605.5176471
402840,128.0625,27.04166667,17.95,526320,218.5,46.08333334,27.10762772,4465.636574,306,136,170,237,197.5,268.375,167.5,1947.4,240.15,101.15,26.45105283,842.8,479.45,741.9,527.05
402843,128.4375,27.04166667,19.64516129,20289341,221.9032258,43.47580645,26.26185479,4374.047151,307.4516129,141.9032258,165.5483871,242.5080645,181.1048387,270.7096774,172.0080645,1813.419355,216.0129032,89.39032258,24.89363395,767.416129,449.7516129,707.3935484,458.4709677
402850,128.0625,27.125,44.46666667,1407212,221,45.66666666,26.96851916,4442.450947,308,138.6666667,169.3333333,238.8333333,199.6666667,270.4166667,170.0833333,1943.4,239.6333333,101.2,26.3490262,840.8666667,481.0333333,739.2,524.8
