"species","japanese.name","family","order","mesh2","latitude","longitude","Category","pre-1949","1950-1959","1960-1969","1970-1979","1980-1989","1990-1999","2000-2009","2010-","unknown"
"sp2","JP2","family2","order2",392757,26.45833333,127.9375,"nat.",,,,,2,5,24,10,29
"sp2","JP2","family2","order2",392767,26.54166667,127.9375,"nat.",,,,,4,1,,11,10
"sp2","JP2","family2","order2",392776,26.625,127.8125,"nat.",,,,,1,,,,3
"sp2","JP2","family2","order2",392777,26.625,127.9375,"nat.",,,,,2,4,23,1,38
"sp2","JP2","family2","order2",392860,26.54166667,128.0625,"nat.",,,,,,,,7,6
"sp2","JP2","family2","order2",392870,26.625,128.0625,"nat.",,,,,2,3,,11,49
"sp2","JP2","family2","order2",392871,26.625,128.1875,"nat.",,,,,3,7,,7,178
"sp2","JP2","family2","order2",402707,26.70833333,127.9375,"nat.",,,,,,3,1,,6
"sp2","JP2","family2","order2",402747,27.04166667,127.9375,"nat.",,,,,,,,,2
"sp2","JP2","family2","order2",402800,26.70833333,128.0625,"nat.",,,,,,,,4,
"sp2","JP2","family2","order2",402801,26.70833333,128.1875,"nat.",,,,1,12,8,1,11,72
"sp2","JP2","family2","order2",402802,26.70833333,128.3125,"nat.",,,,,2,6,,1,91
"sp2","JP2","family2","order2",402811,26.79166667,128.1875,"nat.",,,,,3,7,1,4,17
"sp2","JP2","family2","order2",402812,26.79166667,128.3125,"nat.",,,,1,7,6,,3,88
"sp2","JP2","family2","order2",402822,26.875,128.3125,"nat.",,,,,,1,,,2
"sp3","JP3","family3","order3",624010,41.45833333,140.0625,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",624011,41.45833333,140.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",624012,41.45833333,140.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",624021,41.54166667,140.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",624041,41.70833333,140.1875,"nat.",,,,,1,,,,
"sp3","JP3","family3","order3",624064,41.875,140.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",624067,41.875,140.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",624073,41.95833333,140.4375,"nat.",,,,,,5,,,
"sp3","JP3","family3","order3",624075,41.95833333,140.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",624076,41.95833333,140.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",633903,42.04166667,139.4375,"nat.",,,,,,,,,1
"sp3","JP3","family3","order3",633914,42.125,139.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634003,42.04166667,140.4375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634005,42.04166667,140.6875,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",634031,42.29166667,140.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",634070,42.625,140.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634130,42.29166667,141.0625,"nat.",,,,,,,,1,
"sp3","JP3","family3","order3",634160,42.54166667,141.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634176,42.625,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634177,42.625,141.9375,"nat.",,,,,,,,1,
"sp3","JP3","family3","order3",634242,42.375,142.3125,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",634256,42.45833333,142.8125,"nat.",,,,1,,,,,
"sp3","JP3","family3","order3",634267,42.54166667,142.9375,"nat.",,,,,,,2,,
"sp3","JP3","family3","order3",634271,42.625,142.1875,"nat.",,,,,,,,19,
"sp3","JP3","family3","order3",634276,42.625,142.8125,"nat.",,,,,,,6,,
"sp3","JP3","family3","order3",634277,42.625,142.9375,"nat.",,,,,,,32,,
"sp3","JP3","family3","order3",634332,42.29166667,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634342,42.375,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634364,42.54166667,143.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634370,42.625,143.0625,"nat.",,,,,,,12,,
"sp3","JP3","family3","order3",634372,42.625,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",634373,42.625,143.4375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644000,42.70833333,140.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644013,42.79166667,140.4375,"nat.",,,,,,,10,,
"sp3","JP3","family3","order3",644023,42.875,140.4375,"nat.",,,,,,,30,,
"sp3","JP3","family3","order3",644024,42.875,140.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644037,42.95833333,140.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644104,42.70833333,141.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644105,42.70833333,141.6875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644107,42.70833333,141.9375,"nat.",,,,,,5,,,
"sp3","JP3","family3","order3",644121,42.875,141.1875,"nat.",,,,,,1,304,,
"sp3","JP3","family3","order3",644122,42.875,141.3125,"nat.",,,,,2,,,,
"sp3","JP3","family3","order3",644125,42.875,141.6875,"nat.",,,,,,,,40,
"sp3","JP3","family3","order3",644131,42.95833333,141.1875,"nat.",,,,,,258,200,,
"sp3","JP3","family3","order3",644132,42.95833333,141.3125,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",644133,42.95833333,141.4375,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644134,42.95833333,141.5625,"nat.",,,,,,11,,,
"sp3","JP3","family3","order3",644141,43.04166667,141.1875,"nat.",,,,,,,48,,
"sp3","JP3","family3","order3",644142,43.04166667,141.3125,"nat.",,,,,2,1,,,
"sp3","JP3","family3","order3",644143,43.04166667,141.4375,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644144,43.04166667,141.5625,"nat.",,,,,,12,,2,2
"sp3","JP3","family3","order3",644151,43.125,141.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644154,43.125,141.5625,"nat.",,,,,,,,56,
"sp3","JP3","family3","order3",644155,43.125,141.6875,"nat.",,,,,,,,15,
"sp3","JP3","family3","order3",644162,43.20833333,141.3125,"nat.",,,,,,,,5,
"sp3","JP3","family3","order3",644172,43.29166667,141.3125,"nat.",,,,,,,,10,
"sp3","JP3","family3","order3",644207,42.70833333,142.9375,"nat.",,,,,1,,,,
"sp3","JP3","family3","order3",644210,42.79166667,142.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644241,43.04166667,142.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644245,43.04166667,142.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644246,43.04166667,142.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644247,43.04166667,142.9375,"nat.",,,,,,2,36,,
"sp3","JP3","family3","order3",644253,43.125,142.4375,"nat.",,,,,,260,,,
"sp3","JP3","family3","order3",644255,43.125,142.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644262,43.20833333,142.3125,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644263,43.20833333,142.4375,"nat.",,,,,,,,40,
"sp3","JP3","family3","order3",644267,43.20833333,142.9375,"nat.",,,,,,48,268,,
"sp3","JP3","family3","order3",644277,43.29166667,142.9375,"nat.",,,,,,,216,,
"sp3","JP3","family3","order3",644300,42.70833333,143.0625,"nat.",,,,,,,56,,
"sp3","JP3","family3","order3",644301,42.70833333,143.1875,"nat.",,,,,,,60,,
"sp3","JP3","family3","order3",644302,42.70833333,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644304,42.70833333,143.5625,"nat.",,,,,,4,20,,
"sp3","JP3","family3","order3",644305,42.70833333,143.6875,"nat.",,,,,,,10,,
"sp3","JP3","family3","order3",644314,42.79166667,143.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644321,42.875,143.1875,"nat.",,,,,,6,,,
"sp3","JP3","family3","order3",644322,42.875,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644323,42.875,143.4375,"nat.",,,,,,,4,,
"sp3","JP3","family3","order3",644326,42.875,143.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644331,42.95833333,143.1875,"nat.",,,,,,4,56,,
"sp3","JP3","family3","order3",644332,42.95833333,143.3125,"nat.",,,,,,,48,,
"sp3","JP3","family3","order3",644333,42.95833333,143.4375,"nat.",,,,,,,18,,
"sp3","JP3","family3","order3",644341,43.04166667,143.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644351,43.125,143.1875,"nat.",,,,,,,44,,
"sp3","JP3","family3","order3",644354,43.125,143.5625,"nat.",,,,,,3,26,,
"sp3","JP3","family3","order3",644370,43.29166667,143.0625,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",644372,43.29166667,143.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644430,42.95833333,144.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644432,42.95833333,144.3125,"nat.",,,,,,,,13,
"sp3","JP3","family3","order3",644433,42.95833333,144.4375,"nat.",,,,,,,,2,
"sp3","JP3","family3","order3",644442,43.04166667,144.3125,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644452,43.125,144.3125,"nat.",,,,,,5,1,,
"sp3","JP3","family3","order3",644453,43.125,144.4375,"nat.",,,,,,1,,18,
"sp3","JP3","family3","order3",644454,43.125,144.5625,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",644456,43.125,144.8125,"nat.",,,,,,9,,,
"sp3","JP3","family3","order3",644457,43.125,144.9375,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",644464,43.20833333,144.5625,"nat.",,,,,,2,,4,
"sp3","JP3","family3","order3",644465,43.20833333,144.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644466,43.20833333,144.8125,"nat.",,,,,,20,,,
"sp3","JP3","family3","order3",644467,43.20833333,144.9375,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",644473,43.29166667,144.4375,"nat.",,,,,,,,9,
"sp3","JP3","family3","order3",644474,43.29166667,144.5625,"nat.",,,,,,,,4,
"sp3","JP3","family3","order3",644564,43.20833333,145.5625,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",644573,43.29166667,145.4375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",644574,43.29166667,145.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654105,43.375,141.6875,"nat.",,,,,,,,30,
"sp3","JP3","family3","order3",654117,43.45833333,141.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654127,43.54166667,141.9375,"nat.",,,,,,,,45,
"sp3","JP3","family3","order3",654136,43.625,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654137,43.625,141.9375,"nat.",,,,,,,,10,
"sp3","JP3","family3","order3",654144,43.70833333,141.5625,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",654154,43.79166667,141.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654166,43.875,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654202,43.375,142.3125,"nat.",,,,,,,,18,
"sp3","JP3","family3","order3",654207,43.375,142.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654212,43.45833333,142.3125,"nat.",,,,,,,,84,
"sp3","JP3","family3","order3",654220,43.54166667,142.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654227,43.54166667,142.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654233,43.625,142.4375,"nat.",,,,,,12,,,
"sp3","JP3","family3","order3",654241,43.70833333,142.1875,"nat.",,,,,,10,,,
"sp3","JP3","family3","order3",654244,43.70833333,142.5625,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",654247,43.70833333,142.9375,"nat.",,,,1,,,,,
"sp3","JP3","family3","order3",654252,43.79166667,142.3125,"nat.",,,,,,11,,,
"sp3","JP3","family3","order3",654253,43.79166667,142.4375,"nat.",,,,,,11,,,
"sp3","JP3","family3","order3",654261,43.875,142.1875,"nat.",,,,,,,,3,
"sp3","JP3","family3","order3",654264,43.875,142.5625,"nat.",,,,,,4,,,
"sp3","JP3","family3","order3",654301,43.375,143.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",654302,43.375,143.3125,"nat.",,,,,,,1,,
"sp3","JP3","family3","order3",654320,43.54166667,143.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654321,43.54166667,143.1875,"nat.",,,,,,9,,,
"sp3","JP3","family3","order3",654326,43.54166667,143.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654330,43.625,143.0625,"nat.",,,,,,,34,,
"sp3","JP3","family3","order3",654333,43.625,143.4375,"nat.",,,,,,80,,,
"sp3","JP3","family3","order3",654335,43.625,143.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654337,43.625,143.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654340,43.70833333,143.0625,"nat.",,,,,,88,36,,
"sp3","JP3","family3","order3",654354,43.79166667,143.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654367,43.875,143.9375,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",654410,43.45833333,144.0625,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",654411,43.45833333,144.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654413,43.45833333,144.4375,"nat.",,,,,,,,8,
"sp3","JP3","family3","order3",654422,43.54166667,144.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",654455,43.79166667,144.6875,"nat.",,,,,,5,,,
"sp3","JP3","family3","order3",654456,43.79166667,144.8125,"nat.",,,,,,11,,,
"sp3","JP3","family3","order3",654464,43.875,144.5625,"nat.",,,,,,9,,,
"sp3","JP3","family3","order3",654465,43.875,144.6875,"nat.",,,,,,20,,,
"sp3","JP3","family3","order3",654466,43.875,144.8125,"nat.",,,,,,14,,,
"sp3","JP3","family3","order3",654475,43.95833333,144.6875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",654476,43.95833333,144.8125,"nat.",,,,,,9,,,
"sp3","JP3","family3","order3",654560,43.875,145.0625,"nat.",,,,,,,1,,
"sp3","JP3","family3","order3",664116,44.125,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664117,44.125,141.9375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664126,44.20833333,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664214,44.125,142.5625,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",664215,44.125,142.6875,"nat.",,,,,,496,,,
"sp3","JP3","family3","order3",664227,44.20833333,142.9375,"nat.",,,,,,7,,,
"sp3","JP3","family3","order3",664235,44.29166667,142.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664241,44.375,142.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",664244,44.375,142.5625,"nat.",,,,,,5,,,
"sp3","JP3","family3","order3",664253,44.45833333,142.4375,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",664261,44.54166667,142.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664271,44.625,142.1875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664272,44.625,142.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664314,44.125,143.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",664324,44.20833333,143.5625,"nat.",,,,,,11,,,
"sp3","JP3","family3","order3",664500,44.04166667,145.0625,"nat.",,,,,1,4,,,
"sp3","JP3","family3","order3",664510,44.125,145.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674145,45.04166667,141.6875,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",674152,45.125,141.3125,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",674155,45.125,141.6875,"nat.",,,,,,7,,,
"sp3","JP3","family3","order3",674161,45.20833333,141.1875,"nat.",,,1,,,1,,,
"sp3","JP3","family3","order3",674162,45.20833333,141.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674165,45.20833333,141.6875,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674170,45.29166667,141.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674201,44.70833333,142.1875,"nat.",,,,,,7,,,
"sp3","JP3","family3","order3",674202,44.70833333,142.3125,"nat.",,,,,,3,,,
"sp3","JP3","family3","order3",674222,44.875,142.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674223,44.875,142.4375,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674231,44.95833333,142.1875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",674232,44.95833333,142.3125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674244,45.04166667,142.5625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",674252,45.125,142.3125,"nat.",,,,,,8,,,
"sp3","JP3","family3","order3",684100,45.375,141.0625,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",684106,45.375,141.8125,"nat.",,,,,,1,,,
"sp3","JP3","family3","order3",684110,45.45833333,141.0625,"nat.",,,,1,,2,,,
"sp3","JP3","family3","order3",684115,45.45833333,141.6875,"nat.",,,,,,2,,,
"sp3","JP3","family3","order3",684117,45.45833333,141.9375,"nat.",,,,,,2,,,
"sp4","JP4","family4","order4",513147,34.375,131.9375,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",513631,34.29166667,136.1875,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",513641,34.375,136.1875,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",513651,34.45833333,136.1875,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",523575,35.29166667,135.6875,"nat.",,,,,1,,,,
"sp4","JP4","family4","order4",523632,34.95833333,136.3125,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",523777,35.29166667,137.9375,"nat.",,,,,,4,,,6
"sp4","JP4","family4","order4",523851,35.125,138.1875,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",523852,35.125,138.3125,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",523862,35.20833333,138.3125,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",523872,35.29166667,138.3125,"nat.",,,,,,2,,,
"sp4","JP4","family4","order4",533403,35.375,134.4375,"nat.",,,,,,3,,,
"sp4","JP4","family4","order4",533413,35.45833333,134.4375,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",533632,35.625,136.3125,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",533633,35.625,136.4375,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533635,35.625,136.6875,"nat.",,,,,,,2,,
"sp4","JP4","family4","order4",533645,35.70833333,136.6875,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533653,35.79166667,136.4375,"nat.",,,,,,,1,1,
"sp4","JP4","family4","order4",533704,35.375,137.5625,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533712,35.45833333,137.3125,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533734,35.625,137.5625,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533743,35.70833333,137.4375,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533747,35.70833333,137.9375,"nat.",,,,,,1,,,2
"sp4","JP4","family4","order4",533751,35.79166667,137.1875,"nat.",,,,,,6,,,
"sp4","JP4","family4","order4",533752,35.79166667,137.3125,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533761,35.875,137.1875,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533772,35.95833333,137.3125,"nat.",,,,,,,1,,
"sp4","JP4","family4","order4",533776,35.95833333,137.8125,"nat.",,,,,1,,,,1
"sp4","JP4","family4","order4",533800,35.375,138.0625,"nat.",,,,,2,1,,,6
"sp4","JP4","family4","order4",533801,35.375,138.1875,"nat.",,,,,1,,,,
"sp4","JP4","family4","order4",533811,35.45833333,138.1875,"nat.",,,,,1,,,,
"sp4","JP4","family4","order4",533812,35.45833333,138.3125,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",533817,35.45833333,138.9375,"nat.",,,,,,3,,,
"sp4","JP4","family4","order4",533847,35.70833333,138.9375,"nat.",,,,,,2,,,
"sp4","JP4","family4","order4",533856,35.79166667,138.8125,"nat.",,,,,,2,,,
"sp4","JP4","family4","order4",533857,35.79166667,138.9375,"nat.",,,,,1,5,,,
"sp4","JP4","family4","order4",533867,35.875,138.9375,"nat.",,,,,1,,,,
"sp4","JP4","family4","order4",533877,35.95833333,138.9375,"nat.",,,,,6,,,,
"sp4","JP4","family4","order4",533910,35.45833333,139.0625,"nat.",,,,,,8,,,
"sp4","JP4","family4","order4",533911,35.45833333,139.1875,"nat.",,,,,,2,2,,
"sp4","JP4","family4","order4",533920,35.54166667,139.0625,"nat.",,,,,,2,,,
"sp4","JP4","family4","order4",533921,35.54166667,139.1875,"nat.",,,,,1,3,,,
"sp4","JP4","family4","order4",533923,35.54166667,139.4375,"nat.",,,,,,1,,,
"sp4","JP4","family4","order4",533940,35.70833333,139.0625,"nat.",,,,,1,,,,
"sp4","JP4","family4","order4",533941,35.70833333,139.1875,"nat.",,,,,11,17,,,
"sp4","JP4","family4","order4",533950,35.79166667,139.0625,"nat.",,,,,5,,,,
"sp4","JP4","family4","order4",533951,35.79166667,139.1875,"nat.",,,,,9,2,,,
"sp4","JP4","family4","order4",533960,35.875,139.0625,"nat.",,,,,5,2,,,
"sp4","JP4","family4","order4",533961,35.875,139.1875,"nat.",,,,,2,3,,,
"sp4","JP4","family4","order4",533970,35.95833333,139.0625,"nat.",,,,,3,,,,
"sp4","JP4","family4","order4",543605,36.04166667,136.6875,"nat.",,,,,,1,,3,
"sp4","JP4","family4","order4",543613,36.125,136.4375,"nat.",,,,,,,,1,
