#データ名,ファイル名,説明,更新日,解像度,検索キュー,仕様書,データ概要,URL#
観測値日本海産爬虫類1km,Marine.reptile_grid1km.csv,日本の海産爬虫類の分布観測データ。在データの年代別情報付き,2022/9/5,3次メッシュ,種分布データ;日本;海産爬虫類;marine reptile;1km;3次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.reptile_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.reptile_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/1km/Marine.reptile_grid1km.csv">リンク</a>
観測値日本海産貝類1km,Marine.shell_grid1km.csv,日本の海産貝類の分布観測データ。在データの年代別情報付き,2022/9/5,3次メッシュ,種分布データ;日本;海産貝類;marine shell;1km;3次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.shell_grid1km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.shell_grid1km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/1km/Marine.shell_grid1km.csv">リンク</a>
観測値日本両生類10km,amphibian_grid10km.csv,日本の両生類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;両生類;amphibian;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/amphibian_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/amphibian_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/amphibian_grid10km.csv">リンク</a>
観測値日本被子植物10km,angiosperms1_grid10km.csv,日本の被子植物の分布観測データ。在データの年代別情報付き,2022/9/6,2次メッシュ,種分布データ;日本;被子植物;angiosperm;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/angiosperms1_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/angiosperms1_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/angiosperms1_grid10km.csv">リンク</a>
観測値日本被子植物10km,angiosperms2_grid10km.csv,日本の被子植物の分布観測データ。在データの年代別情報付き,2022/9/6,2次メッシュ,種分布データ;日本;被子植物;angiosperm;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/angiosperms2_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/angiosperms2_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/angiosperms2_grid10km.csv">リンク</a>
観測値日本被子植物10km,angiosperms3_grid10km.csv,日本の被子植物の分布観測データ。在データの年代別情報付き,2022/9/6,2次メッシュ,種分布データ;日本;被子植物;angiosperm;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/angiosperms3_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/angiosperms3_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/angiosperms3_grid10km.csv">リンク</a>
観測値日本鳥類10km,bird_grid10km.csv,日本の鳥類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;鳥類;bird;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/bird_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/bird_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/bird_grid10km.csv">リンク</a>
観測値日本チョウ10km,butterfly_grid10km.csv,日本のチョウの分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;チョウ;butterfly;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/butterfly_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/butterfly_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/butterfly_grid10km.csv">リンク</a>
観測値日本セミ10km,cicada_grid10km.csv,日本のセミの分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;セミ;cicada;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/cicada_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/cicada_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/cicada_grid10km.csv">リンク</a>
観測値日本トンボ10km,dragonfly_grid10km.csv,日本のトンボの分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;トンボ;dragonfly;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/dragonfly_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/dragonfly_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/dragonfly_grid10km.csv">リンク</a>
観測値日本シダ10km,fern_grid10km.csv,日本のシダ植物の分布観測データ。在データの年代別情報付き,2022/9/6,2次メッシュ,種分布データ;日本;シダ植物;fern;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/fern_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/fern_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/fern_grid10km.csv">リンク</a>
観測値日本淡水魚10km,freshwater_fish_grid10km.csv,日本の淡水魚類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;魚類;淡水魚類;freshwater fish;10km;2次メッシュ;時系列;淡水域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/freshwater_fish_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/freshwater_fish_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/freshwater_fish_grid10km.csv">リンク</a>
観測値日本裸子植物10km,gymnosperm_grid10km.csv,日本の裸子植物の分布観測データ。在データの年代別情報付き,2022/9/6,2次メッシュ,種分布データ;日本;裸子植物;gymnosperm;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/gymnosperm_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/gymnosperm_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/gymnosperm_grid10km.csv">リンク</a>
観測値日本哺乳類10km,mammal_grid10km.csv,日本の哺乳類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;哺乳類;mammal;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/mammal_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/mammal_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/mammal_grid10km.csv">リンク</a>
観測値日本爬虫類10km,reptile_grid10km.csv,日本の爬虫類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;爬虫類;reptile;10km;2次メッシュ;時系列;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/reptile_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/reptile_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/reptile_grid10km.csv">リンク</a>
観測値日本イシサンゴ類10km,coral_grid10km.csv,日本のイシサンゴ類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;イシサンゴ;scleractinia;coral;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/coral_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/coral_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/coral_grid10km.csv">リンク</a>
観測値日本海草藻類10km,Marine.algae_grid10km.csv,日本の海草藻類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;海藻:海草;algae;seagrass;seaweed;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.algae_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.algae_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.algae_grid10km.csv">リンク</a>
観測値日本海産甲殻類10km,Marine.crustacean_grid10km.csv,日本の海産甲殻類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;甲殻類;marine crustacean;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.crustacean_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.crustacean_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.crustacean_grid10km.csv">リンク</a>
観測値日本沿岸魚類10km,Marine.fish_grid10km.csv,日本の沿岸魚類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;沿岸魚類;marine fish;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.fish_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.fish_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.fish_grid10km.csv">リンク</a>
観測値日本海産爬虫類10km,Marine.reptile_grid10km.csv,日本の海産爬虫類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;海産爬虫類;marine reptile;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.reptile_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.reptile_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.reptile_grid10km.csv">リンク</a>
観測値日本海産貝類10km,Marine.shell_grid10km.csv,日本の海産貝類の分布観測データ。在データの年代別情報付き,2022/9/5,2次メッシュ,種分布データ;日本;海産貝類;marine shell;10km;2次メッシュ;時系列;海域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/Marine.shell_grid10km.csv_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/Marine.shell_grid10km.csv.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/point_occurrence/japan/10km/Marine.shell_grid10km.csv">リンク</a>
予測値日本両生類1km,pred_amphibian_grid1km.RDS,日本の両生類の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;両生類;amphibian;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_amphibian_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_amphibian_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_amphibian_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms1.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms1.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms1.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms1.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms1.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms1.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms1.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms1.2_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms2.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms2.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms2.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms2.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms2.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms2.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms2.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms2.2_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms3.1_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms3.1_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms3.1_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms3.1_grid1km.RDS">リンク</a>
予測値日本被子植物1km,pred_angiosperms3.2_grid1km.RDS,日本の被子植物の分布推定データ（二値化）。,2022/9/5,3次メッシュ,種分布データ;日本;被子植物;angiosperm;1km;在不在;推定;予測;3次メッシュ;陸域,<a href="https://ocean180-pj.github.io/data.website/assets/data/shiyosho/pred_angiosperms3.2_grid1km.RDS_document.txt">仕様書</a>,<a href="https://ocean180-pj.github.io/data.website/assets/data/image/pred_angiosperms3.2_grid1km.RDS.pdf">pdf</a>&nbsp;,<a href="https://github.com/ocean180-pj/data.container/tree/main/biodistribution_data/distribution_estimate/japan/1km/pred_angiosperms3.2_grid1km.RDS">リンク</a>
